city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
BRISBANE,2007_A/Wisconsin/67/2005-like,2007,H3,A/Wisconsin/67/2005-like,Y,12,146,74.53135856,0.460567823,0,0,N,0.954248366,0,0,51.11186916,A,Y,N,N,14,N,12,Y,12,N
BRISBANE,2007_A/New Caledonia/20/99-like,2007,H1sea,A/New Caledonia/20/99-like,Y,13,18,9.188797631,0.056782334,0,0,N,0.117647059,1,0.079901403,51.11186916,A,N,N,N,13,Y,13,N,13,N
BRISBANE,2007_B/Malaysia/2506/2004-like,2007,B/Vic,B/Malaysia/2506/2004-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2007_B/Florida/4/2006-like,2007,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2007_A/Brisbane/59/2007-like,2007,H1sea,A/Brisbane/59/2007-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2008_B/Florida/4/2006-like,2008,B/Yam,B/Florida/4/2006-like,Y,13,93,46.2179779,0.462686567,1,0,Y,1,0,0,51.11186916,B,N,N,N,13,Y,13,Y,13,Y
BRISBANE,2008_B/Brisbane/60/2008-like,2008,B/Vic,B/Brisbane/60/2008-like,Y,15,53,26.33927773,0.263681592,1,1,N,0.569892473,2,0.175016395,51.11186916,B,N,N,N,15,N,15,N,15,N
BRISBANE,2008_A/Wisconsin/67/2005-like,2008,H3,A/Wisconsin/67/2005-like,Y,14,47,23.3574727,0.233830846,0,0,N,0.505376344,1,0.019446266,51.11186916,A,Y,Y,N,14,N,14,N,14,N
BRISBANE,2008_A/Brisbane/59/2007-like,2008,H1sea,A/Brisbane/59/2007-like,Y,17,8,3.975740034,0.039800995,1,0,N,0.086021505,4,1.098714035,51.11186916,A,N,N,N,17,N,17,N,17,N
BRISBANE,2008_B/Malaysia/2506/2004-like,2008,B/Vic,B/Malaysia/2506/2004-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
