"city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size"
"BRISBANE","2015_B/Brisbane/60/2008-like",2015,"B/Vic","B/Brisbane/60/2008-like","Y",12,101,43.5626294748202,0.523316062176166,0,0,"N",1.09782608695652,4,0.844552691447423,49.7304672938985
"BRISBANE","2015_B/Phuket/3073/2013-like",2015,"B/Yam","B/Phuket/3073/2013-like","Y",8,92,39.6808110067669,0.476683937823834,1,0,"Y",1,0,0,49.7304672938985
"BRISBANE","2015_A/Switzerland/9715293/2013-like",2015,"H3","A/Switzerland/9715293/2013-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"BRISBANE","2015_A/California/7/2009-like",2015,"H1pdm09","A/California/7/2009-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,49.7304672938985
"MELBOURNE","2000_A/Moscow/10/99-like",2000,"H3","A/Moscow/10/99-like","Y",13,106,30.7239519581737,0.630952380952381,NA,NA,"Y",1,0,0,27.8177380761194
"MELBOURNE","2000_B/Sichuan/379/99-like",2000,"B/Yam","B/Sichuan/379/99-like","Y",16,47,13.6228843588129,0.279761904761905,NA,NA,"N",0.443396226415094,3,0.611120859412862,27.8177380761194
"MELBOURNE","2000_A/New Caledonia/20/99-like",2000,"H1sea","A/New Caledonia/20/99-like","Y",17,15,4.34772905068496,0.0892857142857143,NA,NA,"N",0.141509433962264,4,1.07844857543446,27.8177380761194
"MELBOURNE","2001_A/New Caledonia/20/99-like",2001,"H1sea","A/New Caledonia/20/99-like","Y",15,42,11.9991463464456,1,0,0,"Y",1,0,0,27.8177380761194
"MELBOURNE","2001_B/Sichuan/379/99-like",2001,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,27.8177380761194
"MELBOURNE","2001_A/Moscow/10/99-like",2001,"H3","A/Moscow/10/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,27.8177380761194
"MELBOURNE","2002_A/Moscow/10/99-like",2002,"H3","A/Moscow/10/99-like","Y",11,265,74.7409661440346,0.857605177993528,0,0,"N",6.02272727272727,1,0.0718965716956308,27.8177380761194
"MELBOURNE","2002_B/Hong Kong/330/2001-like",2002,"B/Vic","B/Hong Kong/330/2001-like","Y",10,44,12.4098207937265,0.142394822006472,1,1,"Y",1,0,0,27.8177380761194
"MELBOURNE","2002_B/Sichuan/379/99-like",2002,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,27.8177380761194
"MELBOURNE","2003_A/Fujian/411/2002-like",2003,"H3","A/Fujian/411/2002-like","Y",14,202,56.2043009645715,1,1,1,"Y",1,0,0,27.8177380761194
"MELBOURNE","2003_B/Sichuan/379/99-like",2003,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,27.8177380761194
"MELBOURNE","2003_A/Moscow/10/99-like",2003,"H3","A/Moscow/10/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,27.8177380761194
"MELBOURNE","2004_A/Fujian/411/2002-like",2004,"H3","A/Fujian/411/2002-like","Y",16,27,7.41360880473131,0.5625,0,0,"Y",1,0,0,27.8177380761194
"MELBOURNE","2004_B/Shanghai/361/2002-like",2004,"B/Yam","B/Shanghai/361/2002-like","Y",18,21,5.76614018145769,0.4375,1,1,"N",0.777777777777778,2,0.215689715086892,27.8177380761194
